source,source_record_id,collection_id,collection_title,dataset_title,tissues,species,assays,is_multiome_only,cell_count,primary_cell_count,multiome_cell_count,multiome_primary_cell_count,multiome_cell_count_basis,doi,portal_url,raw_data_urls,raw_data_status,processed_data_urls,other_data_urls,available_file_types,has_adata,has_bigwig,has_fragments,has_bed,raw_storage_bytes,raw_storage_basis,processed_storage_bytes,processed_storage_basis,total_storage_bytes,access,retrieved_date
CELLxGENE Discover,c3bf8bcf-abb7-4d71-8491-bd4901b474cf,690fb28b-e364-4d3d-8934-bae50ae93857,Gene expression patterns of the developing human and mouse face at single cell resolution,Human Craniofacial Expression All Celltypes,pharyngeal arch system,Homo sapiens,10x multiome,true,95892,95892,95892,95892,exact current H5AD obs assay labels,10.1038/s41467-026-70232-6,https://cellxgene.cziscience.com/collections/690fb28b-e364-4d3d-8934-bae50ae93857,https://doi.org/10.25550/8D-2JQ0; https://doi.org/10.25550/7N-54BY,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/0ba987e4-3040-448d-a3db-49e0ea73c80b.h5ad,https://doi.org/10.5281/zenodo.14343226,H5AD,true,false,false,false,941573582844,modeled from 9.82 MB/multiome primary cell,1292625086,exact sum of CELLxGENE asset sizes,942866207930,public,2026-08-01
CELLxGENE Discover,805832dc-92fc-4445-9016-067b1baa282d,690fb28b-e364-4d3d-8934-bae50ae93857,Gene expression patterns of the developing human and mouse face at single cell resolution,Human Craniofacial Expression Cranial Neural Crest,cranial neural crest,Homo sapiens,10x multiome,true,3294,0,3294,0,exact current H5AD obs assay labels,10.1038/s41467-026-70232-6,https://cellxgene.cziscience.com/collections/690fb28b-e364-4d3d-8934-bae50ae93857,https://doi.org/10.25550/8D-2JQ0; https://doi.org/10.25550/7N-54BY,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/e815de8f-359a-4b47-b29c-a05990b92f9b.h5ad,https://doi.org/10.5281/zenodo.14343226,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),53688035,exact sum of CELLxGENE asset sizes,53688035,public,2026-08-01
CELLxGENE Discover,5106ea1a-947c-4a51-b29f-9db107392588,690fb28b-e364-4d3d-8934-bae50ae93857,Gene expression patterns of the developing human and mouse face at single cell resolution,Mouse Craniofacial Expression Ectodermal Celltypes,pharyngeal arch system,Mus musculus,10x 3' v3; 10x multiome,false,9563,0,8894,0,exact current H5AD obs assay labels,10.1038/s41467-026-70232-6,https://cellxgene.cziscience.com/collections/690fb28b-e364-4d3d-8934-bae50ae93857,https://doi.org/10.25550/8D-2JQ0; https://doi.org/10.25550/7N-54BY,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/63098223-737c-43e2-938b-2d8d4e545124.h5ad,https://doi.org/10.5281/zenodo.14343226,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),115795722,exact sum of CELLxGENE asset sizes,115795722,public,2026-08-01
CELLxGENE Discover,4d4c7412-9438-4508-a444-294762e8a00a,690fb28b-e364-4d3d-8934-bae50ae93857,Gene expression patterns of the developing human and mouse face at single cell resolution,Mouse Craniofacial Expression Cranial Neural Crest,cranial neural crest,Mus musculus,10x 3' v3; 10x multiome,false,1281,0,1075,0,exact current H5AD obs assay labels,10.1038/s41467-026-70232-6,https://cellxgene.cziscience.com/collections/690fb28b-e364-4d3d-8934-bae50ae93857,https://doi.org/10.25550/8D-2JQ0; https://doi.org/10.25550/7N-54BY,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/79c5dfc7-0590-4db2-b218-46d1e381f71e.h5ad,https://doi.org/10.5281/zenodo.14343226,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),18956692,exact sum of CELLxGENE asset sizes,18956692,public,2026-08-01
CELLxGENE Discover,1b9db9dc-e417-4dd4-8ce4-ff39a86c55a1,690fb28b-e364-4d3d-8934-bae50ae93857,Gene expression patterns of the developing human and mouse face at single cell resolution,Mouse Craniofacial Expression Mesenchymal Celltypes,pharyngeal arch system,Mus musculus,10x 3' v3; 10x multiome,false,60540,0,55013,0,exact current H5AD obs assay labels,10.1038/s41467-026-70232-6,https://cellxgene.cziscience.com/collections/690fb28b-e364-4d3d-8934-bae50ae93857,https://doi.org/10.25550/8D-2JQ0; https://doi.org/10.25550/7N-54BY,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/791c3744-592e-43d8-84a5-5bce4bafd93d.h5ad,https://doi.org/10.5281/zenodo.14343226,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),595753945,exact sum of CELLxGENE asset sizes,595753945,public,2026-08-01
CELLxGENE Discover,92594117-6e7c-47bd-bd6b-65c52cea167b,ad10cef8-9c6c-488f-9b50-d252d49b6837,Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes,Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes.,lung,Homo sapiens,10x multiome,true,116778,116778,116778,116778,exact current H5AD obs assay labels,10.1038/s41467-024-52356-9,https://cellxgene.cziscience.com/collections/ad10cef8-9c6c-488f-9b50-d252d49b6837,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241468,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/a1e971da-5c35-46fd-acc3-b742735ec7d9.h5ad,https://zenodo.org/records/13306592,H5AD,true,false,false,false,1146655402508,modeled from 9.82 MB/multiome primary cell,1494890484,exact sum of CELLxGENE asset sizes,1148150292992,public,2026-08-01
CELLxGENE Discover,e2a00644-0a48-4815-ae87-d562045114f5,0986e4cd-7a58-405d-9b91-4b199bb4124e,ALS motor cortex and spinal cord single-nucleus multiome dataset,Brain dataset,primary motor cortex,Homo sapiens,10x 3' v3; 10x multiome,false,75583,75583,35866,35866,exact current H5AD obs assay labels,10.1093/brain/awaf426,https://cellxgene.cziscience.com/collections/0986e4cd-7a58-405d-9b91-4b199bb4124e,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/a1ccad25-1438-41f6-a09e-d4960ca36b67.h5ad,https://doi.org/10.6084/m9.figshare.29628653,H5AD,true,false,false,false,352172007282,modeled from 9.82 MB/multiome primary cell,1027207528,exact sum of CELLxGENE asset sizes,353199214810,public,2026-08-01
CELLxGENE Discover,b57462e3-1df5-463a-a3fa-4d67b93ef087,0986e4cd-7a58-405d-9b91-4b199bb4124e,ALS motor cortex and spinal cord single-nucleus multiome dataset,Spinal cord dataset,lumbar spinal cord,Homo sapiens,10x 3' v3; 10x multiome,false,62711,62711,26158,26158,exact current H5AD obs assay labels,10.1093/brain/awaf426,https://cellxgene.cziscience.com/collections/0986e4cd-7a58-405d-9b91-4b199bb4124e,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/72dab565-a96b-4b06-a1b7-3413efeff523.h5ad,https://doi.org/10.6084/m9.figshare.29628653,H5AD,true,false,false,false,256848139365,modeled from 9.82 MB/multiome primary cell,839680333,exact sum of CELLxGENE asset sizes,257687819698,public,2026-08-01
CELLxGENE Discover,9ac3d74d-1d94-4ff9-abf9-fe5abe4bd2a6,9c9d04c4-8899-417f-bb6f-6107dcadf14f,Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney,Single-nucleus RNA-seq of the Mouse Kidney (Version 2.0),kidney,Mus musculus,10x 3' v2; 10x multiome,false,315764,315764,192616,192616,exact current H5AD obs assay labels,10.1101/2025.09.26.678707,https://cellxgene.cziscience.com/collections/9c9d04c4-8899-417f-bb6f-6107dcadf14f,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/19aab2ef-654a-4047-8f60-3529c041851d.h5ad,,H5AD,true,false,false,false,1891316660754,modeled from 9.82 MB/multiome primary cell,1821316660,exact sum of CELLxGENE asset sizes,1893137977414,public,2026-08-01
CELLxGENE Discover,7ff0197b-d175-49bf-b4fa-150fe0995d93,9c9d04c4-8899-417f-bb6f-6107dcadf14f,Cellular and Spatial Drivers of Unresolved Injury and Functional Decline in the Human Kidney,Single-nucleus RNA-seq of the Adult Human Kidney (Version 2.0),cortex of kidney; kidney; renal medulla; renal papilla,Homo sapiens,10x 3' v3; 10x multiome,false,1388643,1388643,784561,784561,exact current H5AD obs assay labels,10.1101/2025.09.26.678707,https://cellxgene.cziscience.com/collections/9c9d04c4-8899-417f-bb6f-6107dcadf14f,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/06b8d9c2-0bde-48bd-88d9-730993fc95e2.h5ad,,H5AD,true,false,false,false,7703686561228,modeled from 9.82 MB/multiome primary cell,13818560828,exact sum of CELLxGENE asset sizes,7717505122056,public,2026-08-01
CELLxGENE Discover,09b518f9-da64-44cc-aec8-70a89d55611f,4cbb929b-b03b-4aa8-a943-00f61dc22641,Multimodal benchmarking dataset for renal cortex characterization (mBDRC),multimodal benchmarking dataset for renal cortex characterization - multiome only (fragment files included),cortex of kidney,Homo sapiens,10x multiome,true,37717,37717,37717,37717,exact current H5AD obs assay labels,10.1101/2025.03.06.637075,https://cellxgene.cziscience.com/collections/4cbb929b-b03b-4aa8-a943-00f61dc22641,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/e037f157-49b6-4a1b-b34f-51a928778a27-fragment.tsv.bgz; https://datasets.cellxgene.cziscience.com/e037f157-49b6-4a1b-b34f-51a928778a27-fragment.tsv.bgz.tbi; https://datasets.cellxgene.cziscience.com/46aada24-d005-4486-9e21-866da4fdbd7a.h5ad,,H5AD; fragment; fragment_index,true,false,true,false,370347169984,modeled from 9.82 MB/multiome primary cell,4403121263,exact sum of CELLxGENE asset sizes,374750291247,public,2026-08-01
CELLxGENE Discover,203025fe-fa99-4d57-81da-458ed8f0c334,433700dc-e8a5-48b0-b5cd-beb22f3f88fe,Brain vascular single-cell multi-omics elucidates disease risk associations,Brain vascular single-cell multi-omics elucidates disease risk associations - snRNA-seq,dorsolateral prefrontal cortex,Homo sapiens,10x multiome,true,65479,65479,65479,65479,exact current H5AD obs assay labels,,https://cellxgene.cziscience.com/collections/433700dc-e8a5-48b0-b5cd-beb22f3f88fe,,not supplied by provider or publication,https://datasets.cellxgene.cziscience.com/25da7ccb-04ca-49d2-b00b-a794ef8c766d.h5ad,,H5AD,true,false,false,false,642945153204,modeled from 9.82 MB/multiome primary cell,627654439,exact sum of CELLxGENE asset sizes,643572807643,public,2026-08-01
CELLxGENE Discover,f13b63f5-779f-478a-90a7-5ee65d9d6828,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Neuron_GABA,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,29897,0,29897,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/a0971a2c-a7bd-4e68-a459-35b8ef343b8b.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),230372529,exact sum of CELLxGENE asset sizes,230372529,public,2026-08-01
CELLxGENE Discover,e73e4eb8-d5f3-47c3-b446-330f37d042da,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Neuron_GLUT,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,29523,0,29523,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/fbdd0e80-05a3-4b1a-baa7-7486398b5d58.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),224017074,exact sum of CELLxGENE asset sizes,224017074,public,2026-08-01
CELLxGENE Discover,bdc7e498-c27d-4156-a342-8653e87001fb,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_OPC,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,4101,0,4101,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/70ba6bf7-d630-4274-baa2-9752924dcf56.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),40085876,exact sum of CELLxGENE asset sizes,40085876,public,2026-08-01
CELLxGENE Discover,5e9fbc0b-16ff-4245-bd59-c22d4113c017,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Immune,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,10845,0,10845,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/c3b4c13b-7a8e-4ea9-adeb-fbd5b3ee9271.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),88475379,exact sum of CELLxGENE asset sizes,88475379,public,2026-08-01
CELLxGENE Discover,5662e542-8cf7-487b-8423-f50b64dc6421,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Vascular,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,5683,0,5683,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/63a24ee0-03aa-4747-8fba-6673f04d86c6.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),43190559,exact sum of CELLxGENE asset sizes,43190559,public,2026-08-01
CELLxGENE Discover,4398dcfc-f86b-4d52-aa9f-1f2cf902c0cf,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_RGL,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,70803,0,70803,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/ecaf3bd4-55a8-471a-9d94-bc3d64dae249.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),545259999,exact sum of CELLxGENE asset sizes,545259999,public,2026-08-01
CELLxGENE Discover,2ad168af-ae8c-469e-b21f-dd7f93146d7e,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_FBL,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,8841,0,8841,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/274ed523-78e7-4ea5-85ec-b91a17497fbb.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),73474136,exact sum of CELLxGENE asset sizes,73474136,public,2026-08-01
CELLxGENE Discover,19f1bec6-eeb7-4133-accc-992d745fef89,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,Full_Dataset,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,166785,166785,166785,166785,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/49a73aea-76d5-40a1-b5e4-fa6c0831e164-fragment.tsv.bgz; https://datasets.cellxgene.cziscience.com/49a73aea-76d5-40a1-b5e4-fa6c0831e164-fragment.tsv.bgz.tbi; https://datasets.cellxgene.cziscience.com/e88a34d0-d28a-4d10-a8c5-d59f86ba621a.h5ad,,H5AD; fragment; fragment_index,true,false,true,false,1637679368608,modeled from 9.82 MB/multiome primary cell,50534468887,exact sum of CELLxGENE asset sizes,1688213837495,public,2026-08-01
CELLxGENE Discover,00f15b43-f871-46d8-8105-814387ad8658,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,All_Neuron_Peptidergic,brain; cerebellum; diencephalon; hindbrain; medulla oblongata; midbrain; pons; telencephalon,Homo sapiens,10x multiome,true,7092,0,7092,0,exact current H5AD obs assay labels,10.1038/s41586-024-07234-1,https://cellxgene.cziscience.com/collections/a66d41a7-f1de-4b70-b983-7a4b790a0d5d,https://ega-archive.org/studies/EGAS00001007472,collection/repository link supplied,https://datasets.cellxgene.cziscience.com/dc94c601-b19e-405b-a2aa-3f51554de0de.h5ad,,H5AD,true,false,false,false,0,0: no multiome primary cells (derived row; avoids duplicate accounting),59633476,exact sum of CELLxGENE asset sizes,59633476,public,2026-08-01
